डॉ. बी. आर. अंबेडकर का जन्म कब हुआ?,14 अप्रैल 1891,15 अगस्त 1901,26 जनवरी 1910,2 अक्टूबर 1905,a
डॉ. अंबेडकर का जन्म किस राज्य में हुआ?,उत्तर प्रदेश,महाराष्ट्र,मध्य प्रदेश,गुजरात,c
'जाति का उन्मूलन' पुस्तक किस वर्ष प्रकाशित हुई?,1936,1940,1942,1950,a
डॉ. अंबेडकर की रचना 'जाति का उन्मूलन' का मुख्य उद्देश्य क्या था?,जाति प्रथा को समाप्त करना,धर्म सुधार,शिक्षा सुधार,समानता स्थापित करना,a
"'श्रण विभाजन और जाति प्रथा' के अनुसार, श्रम विभाजन किस पर आधारित होता है?",धर्म,शिक्षा,जाति प्रथा,राजनीति,c
'श्रण विभाजन और जाति प्रथा' में जाति प्रथा को क्या कहा गया है?,सामाजिक सुधार,श्रम विभाजन का अनिवार्य परिणाम,धार्मिक प्रथा,राजनीतिक कदम,b
डॉ. अंबेडकर के भाषण 'जाति-पाति तोड़क मंडल' का मुख्य विषय क्या था?,धर्म,शांति,समानता,अहिंसा,c
'जाति-पाति तोड़क मंडल' में किस तर्क का विरोध किया गया?,जाति प्रथा,धर्म परिवर्तन,शिक्षा का अधिकार,राजनीति,a
'श्रण विभाजन और जाति प्रथा' में कहा गया है कि जाति प्रथा किसे सीमित करती है?,धर्म,आर्थिक स्वतंत्रता,शिक्षा,श्रम विभाजन,d
डॉ. अंबेडकर के अनुसार जाति प्रथा का सबसे बड़ा नुकसान क्या है?,धार्मिक असमानता,सामाजिक भेदभाव,आर्थिक असमानता,राजनीतिक असमानता,b
'श्रण विभाजन और जाति प्रथा' में जाति प्रथा को किससे जोड़ा गया है?,धर्म,श्रम विभाजन,अर्थव्यवस्था,शिक्षा,b
'श्रण विभाजन और जाति प्रथा' का मुख्य उद्देश्य क्या है?,जाति विभाजन को समाप्त करना,धर्म सुधार,श्रम विभाजन का समर्थन,समानता की स्थापना,c
डॉ. अंबेडकर ने किस ग्रंथ में जाति प्रथा के खिलाफ तर्क दिए?,संविधान और समाज,जाति का उन्मूलन,बुद्ध और धम्म,धर्म और समाज,b
'जाति का उन्मूलन' का प्रमुख संदेश क्या है?,धर्म सुधार,समानता की स्थापना,जाति प्रथा को समाप्त करना,शिक्षा सुधार,c
'श्रण विभाजन और जाति प्रथा' में किसकी आलोचना की गई है?,धर्म,जाति प्रथा,राजनीति,शिक्षा प्रणाली,b
'जाति का उन्मूलन' में डॉ. अंबेडकर किसका विरोध करते हैं?,धर्म परिवर्तन,जाति प्रथा,आर्थिक असमानता,शिक्षा सुधार,b
डॉ. अंबेडकर की प्रमुख प्रेरणाएं कौन थीं?,महात्मा गांधी,बुद्ध,ज्योतिबा फुले,स्वामी विवेकानंद,b
'श्रण विभाजन और जाति प्रथा' में जाति प्रथा को किस रूप में देखा गया है?,धार्मिक स्वतंत्रता,सामाजिक असमानता,अर्थव्यवस्था सुधार,राजनीतिक सुधार,b
डॉ. अंबेडकर का कौन सा भाषण कांग्रेस ने अस्वीकार किया?,भारत का संविधान,जाति-पाति तोड़क मंडल,बुद्ध और धम्म,हिंदू धर्म और जाति,b
'श्रण विभाजन और जाति प्रथा' के अनुसार जाति प्रथा का परिणाम क्या है?,समानता,असमानता,धार्मिक सुधार,शिक्षा सुधार,b
